Title,Region,Type,Rating,Rank
穿越时空的少女,日本,"剧情,爱情,科幻,动画",8.6,286
生之欲,日本,剧情,9.3,287
时时刻刻,"美国,英国",剧情,8.7,288
发条橙,"英国,美国","犯罪,剧情,科幻",8.6,289
叫我第一名,美国,"剧情,传记",8.7,290
哀乐中年,中国大陆,"剧情,爱情,家庭",9.3,291
82年生的金智英,韩国,剧情,8.6,292
面子,美国,"剧情,喜剧,爱情,同性",8.9,293
恋恋风尘,中国台湾,"剧情,爱情",8.7,294
蓝白红三部曲之红,"法国,波兰,瑞士","剧情,爱情,悬疑",8.8,295
美国丽人,美国,"剧情,爱情,家庭",8.6,296
麦兜故事,中国香港,"剧情,喜剧,动画",8.6,297
E.T.外星人,美国,"剧情,科幻",8.6,298
如父如子,日本,"剧情,家庭",8.7,299
燕尾蝶,日本,"犯罪,剧情",8.7,300
公民凯恩,美国,"剧情,悬疑",8.8,301
你的名字。,日本,"剧情,爱情,动画",8.5,302
唐顿庄园：2011圣诞特别篇,英国,剧情,9.3,303
沙漠之花,"英国,德国,奥地利,法国","剧情,传记",8.8,304
复仇者联盟4：终局之战,美国,"剧情,动作,科幻,奇幻,冒险",8.5,305
浪浪山小妖怪,中国大陆,"剧情,喜剧,动画,奇幻",8.5,306
寂静人生,"英国,意大利",剧情,9.0,307
金福南杀人事件始末,韩国,"剧情,犯罪,惊悚",8.6,308
初恋这件小事,泰国,"剧情,喜剧,爱情",8.5,309
新世纪福音战士剧场版：死与新生,日本,"剧情,科幻,动画",9.2,310
小武,"中国香港,中国大陆",剧情,8.6,311
神探夏洛克：最后的誓言,英国,"剧情,犯罪,悬疑",9.0,312
阿飞正传,中国香港,"犯罪,剧情,爱情",8.5,313
荒岛余生,美国,"冒险,剧情",8.6,314
1917,"美国,英国,印度,西班牙,加拿大,中国大陆","剧情,战争",8.5,315
困在时间里的父亲,"英国,法国",剧情,8.6,316
火星救援,"英国,美国,匈牙利,约旦","剧情,科幻,冒险",8.5,317
跳出我天地,"英国,法国","剧情,儿童,歌舞,家庭",8.8,318
真爱至上,"英国,美国,法国","喜剧,剧情,爱情",8.5,319
神探夏洛克：福至如归,英国,"剧情,犯罪,悬疑,惊悚",9.2,320
恋恋笔记本,美国,"剧情,爱情",8.5,321
极速风流,"英国,德国,美国","剧情,传记,运动",8.7,322
钢的琴,中国大陆,"剧情,喜剧",8.5,323
再见我们的幼儿园,日本,"剧情,儿童",8.8,324
大卫·戈尔的一生,"美国,德国,英国,西班牙","剧情,犯罪,悬疑",8.6,325
角斗士,"美国,英国,马耳他,摩洛哥","剧情,动作,冒险",8.6,326
国王的演讲,"美国,英国","剧情,传记,历史",8.5,327
怪物,日本,剧情,8.6,328
光荣之路,美国,"剧情,战争",9.1,329
土拨鼠之日,美国,"剧情,喜剧,爱情,奇幻",8.6,330
出租车司机,美国,"剧情,犯罪",8.6,331
我能说,韩国,"剧情,喜剧",8.8,332
胭脂扣,中国香港,"剧情,爱情,奇幻",8.5,333
香水,"德国,法国,西班牙,美国,比利时","剧情,犯罪,奇幻",8.5,334
家有喜事,中国香港,"剧情,喜剧,爱情,家庭",8.5,335
多哥,美国,"剧情,冒险",8.8,336
小姐,韩国,"剧情,悬疑,情色,同性",8.5,337
梁祝,中国香港,"剧情,爱情,奇幻,古装",8.6,338
网络谜踪,"美国,俄罗斯","剧情,犯罪,悬疑,惊悚",8.5,339
红高粱,中国大陆,"剧情,历史,爱情,战争",8.5,340
与狼共舞,"美国,英国","剧情,西部,冒险",8.9,341
完美陌生人,意大利,"剧情,喜剧",8.5,342
荒野生存,美国,"冒险,传记,剧情",8.6,343
赌神,中国香港,"喜剧,剧情",8.5,344
我们天上见,中国大陆,"剧情,家庭",8.7,345
有话好好说,中国大陆,"剧情,喜剧",8.5,346
黄海,"韩国,美国,中国香港","剧情,动作,犯罪",8.5,347
至暗时刻,"英国,美国","剧情,传记,历史,战争",8.5,348
假如爱有天意,韩国,"剧情,爱情",8.5,349
黑社会,中国香港,"犯罪,剧情,惊悚",8.5,350
笑傲江湖2：东方不败,中国香港,"剧情,爱情,武侠,古装",8.5,351
天国王朝,"英国,德国,西班牙,摩洛哥,美国,意大利,法国","剧情,历史,战争",8.7,352
开心家族,韩国,"剧情,喜剧,家庭",8.6,353
这个男人来自地球,美国,"剧情,科幻",8.5,354
楢山节考,日本,"剧情,家庭",9.0,355
我在伊朗长大,"法国,美国","剧情,传记,动画",8.7,356
哪吒之魔童降世,中国大陆,"剧情,喜剧,动画,奇幻",8.4,357
莫里斯,英国,"剧情,爱情,同性",8.8,358
哪吒之魔童闹海,中国大陆,"剧情,喜剧,动画,奇幻",8.4,359
尼罗河上的惨案,英国,"剧情,犯罪,悬疑",8.6,360
鳄鱼波鞋走天涯,美国,"剧情,冒险",9.1,361
小城之春,中国大陆,"剧情,爱情",8.7,362
婚姻故事,"英国,美国","剧情,爱情",8.5,363
自梳,中国香港,"剧情,爱情,同性",8.7,364
